"Date","SiteName","SiteNumber","Unit","Measurement","Latitude","Longitude"
2025-03-17,"MON",421010076,"PPB",7.69130434782609,39.988842,-75.207205
2025-03-17,"NEW",421010048,"PPB",11.7421052631579,39.991389,-75.080833
2025-03-17,"TOR",421010075,"PPB",9.59130434782609,40.054171,-74.985166
2025-03-18,"MON",421010076,"PPB",4.93333333333333,39.988842,-75.207205
2025-03-18,"NEW",421010048,"PPB",9.36521739130435,39.991389,-75.080833
2025-03-18,"TOR",421010075,"PPB",11.1583333333333,40.054171,-74.985166
2025-03-19,"MON",421010076,"PPB",26.4666666666667,39.988842,-75.207205
2025-03-19,"NEW",421010048,"PPB",19.995652173913,39.991389,-75.080833
2025-03-19,"TOR",421010075,"PPB",17.1631578947368,40.054171,-74.985166
2025-03-20,"MON",421010076,"PPB",18.3791666666667,39.988842,-75.207205
2025-03-20,"NEW",421010048,"PPB",6.05714285714286,39.991389,-75.080833
2025-03-20,"TOR",421010075,"PPB",2.36666666666667,40.054171,-74.985166
2025-03-21,"MON",421010076,"PPB",2.66521739130435,39.988842,-75.207205
2025-03-21,"NEW",421010048,"PPB",7.19130434782609,39.991389,-75.080833
2025-03-21,"TOR",421010075,"PPB",6.11304347826087,40.054171,-74.985166
2025-03-22,"MON",421010076,"PPB",14.2541666666667,39.988842,-75.207205
2025-03-22,"NEW",421010048,"PPB",16.3565217391304,39.991389,-75.080833
2025-03-22,"TOR",421010075,"PPB",19.1208333333333,40.054171,-74.985166
2025-03-23,"MON",421010076,"PPB",4.20434782608696,39.988842,-75.207205
2025-03-23,"NEW",421010048,"PPB",5.58695652173913,39.991389,-75.080833
2025-03-23,"TOR",421010075,"PPB",4.99565217391304,40.054171,-74.985166
2025-03-24,"MON",421010076,"PPB",21.375,39.988842,-75.207205
2025-03-24,"NEW",421010048,"PPB",10.5913043478261,39.991389,-75.080833
2025-03-24,"TOR",421010075,"PPB",11.2833333333333,40.054171,-74.985166
2025-03-25,"MON",421010076,"PPB",8.4695652173913,39.988842,-75.207205
2025-03-25,"NEW",421010048,"PPB",13.7391304347826,39.991389,-75.080833
2025-03-25,"TOR",421010075,"PPB",16.9782608695652,40.054171,-74.985166
2025-03-26,"MON",421010076,"PPB",6.18947368421053,39.988842,-75.207205
2025-03-26,"NEW",421010048,"PPB",10.7478260869565,39.991389,-75.080833
2025-03-26,"TOR",421010075,"PPB",12.91,40.054171,-74.985166
2025-03-27,"MON",421010076,"PPB",5.15652173913043,39.988842,-75.207205
2025-03-27,"NEW",421010048,"PPB",11.2238095238095,39.991389,-75.080833
2025-03-27,"TOR",421010075,"PPB",12.495652173913,40.054171,-74.985166
2025-03-28,"MON",421010076,"PPB",18.175,39.988842,-75.207205
2025-03-28,"NEW",421010048,"PPB",15.3388888888889,39.991389,-75.080833
2025-03-28,"TOR",421010075,"PPB",25.9625,40.054171,-74.985166
2025-03-30,"MON",421010076,"PPB",15.852380952381,39.988842,-75.207205
2025-03-30,"NEW",421010048,"PPB",5.14117647058824,39.991389,-75.080833
2025-03-30,"TOR",421010075,"PPB",4.27619047619048,40.054171,-74.985166
